                                GateName	         GateType	     Level	       CC0	       CC1	        CB
                    c1908SCOAP.DUT.pin_0	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_1	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_2	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_3	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_4	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_5	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_6	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_7	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_8	              pin	         0	         1	         1	        14
                    c1908SCOAP.DUT.pin_9	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_10	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_11	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_12	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_13	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_14	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_15	              pin	         0	         1	         1	        14
                   c1908SCOAP.DUT.pin_16	              pin	         0	         1	         1	        61
                   c1908SCOAP.DUT.pin_17	              pin	         0	         1	         1	        74
                   c1908SCOAP.DUT.pin_18	              pin	         0	         1	         1	        46
                   c1908SCOAP.DUT.pin_19	              pin	         0	         1	         1	        62
                   c1908SCOAP.DUT.pin_20	              pin	         0	         1	         1	        25
                   c1908SCOAP.DUT.pin_21	              pin	         0	         1	         1	        25
                   c1908SCOAP.DUT.pin_22	              pin	         0	         1	         1	        47
                   c1908SCOAP.DUT.pin_23	              pin	         0	         1	         1	        61
                   c1908SCOAP.DUT.pin_24	              pin	         0	         1	         1	        77
                   c1908SCOAP.DUT.pin_25	              pin	         0	         1	         1	        77
                   c1908SCOAP.DUT.pin_26	              pin	         0	         1	         1	        77
                   c1908SCOAP.DUT.pin_27	              pin	         0	         1	         1	        77
                   c1908SCOAP.DUT.pin_28	              pin	         0	         1	         1	        25
                   c1908SCOAP.DUT.pin_29	              pin	         0	         1	         1	        25
                   c1908SCOAP.DUT.pin_30	              pin	         0	         1	         1	        77
                   c1908SCOAP.DUT.pin_31	              pin	         0	         1	         1	        13
                   c1908SCOAP.DUT.pin_32	              pin	         0	         1	         1	        15
                   c1908SCOAP.DUT.pout_0	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_1	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_2	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_3	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_4	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_5	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_6	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_7	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_8	             pout	        50	         7	        11	         0
                   c1908SCOAP.DUT.pout_9	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_10	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_11	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_12	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_13	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_14	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_15	             pout	        50	         7	        11	         0
                  c1908SCOAP.DUT.pout_16	             pout	        52	        14	         7	         0
